curve,years,bond,swap,hedged
ois_rate,1,-3.996110236670347e-05,-3.534155954554308e-07,-4.0317961830664235e-05
ois_rate,2,-8.186105683449796e-05,-8.299397009636778e-07,-8.269908390691392e-05
ois_rate,3,-0.00012091487712950766,2.355684831201188e-06,-0.00011853623725924483
ois_rate,4,-0.00016791411180605564,-1.5561966844046538e-06,-0.00016948547289412117
ois_rate,5,-0.0002232736722902473,-1.884804472496171e-07,-0.0002234639893906738
ois_rate,6,-0.0002616232134613483,-7.019760950299769e-08,-0.00026169409511349014
ois_rate,7,-0.061564719331464346,-2.543221166106946e-06,-0.06156728733512276
ois_rate,8,0.0,2.8680018022697595e-06,2.895949128893402e-06
ois_rate,9,0.0,0.0,0.0
ois_rate,10,0.0,0.0,0.0
term_rate,1,0.0,-2.7462860686000568e-05,-2.7730473327318936e-05
term_rate,2,0.0,4.934328537231636e-05,4.9824112445678856e-05
term_rate,3,0.0,-0.00014980536752773332,-0.00015126515027018454
term_rate,4,0.0,0.00010109919395340228,0.00010208435797685814
term_rate,5,0.0,9.953077917401743e-07,1.0050065973423203e-06
term_rate,6,0.0,-1.243661937877505e-06,-1.2557808376493767e-06
term_rate,7,0.0,0.061690275337781486,0.06229141801244891
term_rate,8,0.0,0.0001946110407029522,0.0001965074336252956
term_rate,9,0.0,0.0,0.0
term_rate,10,0.0,0.0,0.0
