instrument,bump_bps,signed_dv01,currency_per_bp_squared
bond,0.1,-0.06246026678859096,4.6953620369549747e-05
payer_swap,0.1,0.06185749458062162,-4.6775655704323065e-05
bond,1.0,-0.062460273473810446,4.695362916606882e-05
payer_swap,1.0,0.061857501261288306,-4.6775660305087285e-05
bond,5.0,-0.06246043554537835,4.69537075309745e-05
payer_swap,5.0,0.061857663210711775,-4.677573876463725e-05
