instrument,quantlib_pv,independent_pv,residual,clean,accrued,dirty
bond,103.19556901018987,103.19556901018984,2.842170943040401e-14,103.19556901018987,0.0,103.19556901018987
payer_swap,-3.552713678800501e-14,-2.7755575615628914e-15,-3.275157922644212e-14,,,
