date,years,discount_df,projection_df,discount_zero,projection_zero,discount_forward
2026-10-15,0.0821917808219178,0.9968976350263855,0.9964923161899748,0.03780411195683599,0.04275184357480827,0.037804111957179413
2026-11-16,0.16986301369863013,0.9935990535127242,0.9927643473068053,0.03780411195683664,0.04275184357480769,0.037804111957179413
2026-12-15,0.2493150684931507,0.9906191426048923,0.9893979236270235,0.03780411195683666,0.04275184357480808,0.037804111954958974
2027-01-15,0.33424657534246577,0.9874436027712973,0.9858119552697254,0.037804111956836424,0.04275184357480797,0.037804111957179413
2027-02-16,0.42191780821917807,0.9841763032016696,0.9821239425934677,0.03780411195683657,0.04275184357480788,0.037804111957179413
2027-03-15,0.4958904109589041,0.9814279297774973,0.9790229158896481,0.03780411195683668,0.04275184357480793,0.037804111957179413
2027-04-15,0.5808219178082191,0.9782818533988237,0.9754745506529595,0.03780411195683662,0.042751843574807886,0.037804111957179413
2027-05-17,0.6684931506849315,0.9750448686539595,0.9718252111527191,0.03780411195683654,0.04275184357480795,0.037804111957179413
2027-06-15,0.7479452054794521,0.972120603751074,0.968529791235285,0.03780411195683657,0.04275184357480784,0.037804111957179413
2027-07-15,0.8301369863013699,0.9691047308398676,0.965132494967042,0.03780411195683665,0.04275184357480781,0.037804111957179413
2027-08-16,0.9178082191780822,0.9658981117872851,0.9615218460428941,0.037804111956836535,0.04275184357480782,0.037804111957179413
2027-09-15,1.0,0.9629015433171958,0.9581491314305439,0.037804111956836584,0.04275184357480788,0.036809515121343415
2027-10-15,1.082191780821918,0.9600712256656737,0.9549439029485363,0.037653033956475145,0.042601211182457834,0.03581491828650483
2027-11-15,1.167123287671233,0.9571553037276616,0.9516430973901058,0.03751927436538834,0.04246784611833888,0.03581491828650483
2027-12-15,1.2493150684931507,0.9543418763630571,0.9484596330833472,0.037407145675916215,0.0423560481549964,0.03581491828428439
2028-01-18,1.3424657534246576,0.9511633211741646,0.944864578916489,0.03729666459167708,0.04224589293723766,0.03581491828428439
2028-02-15,1.4191780821917808,0.9485536381382627,0.9419141802012271,0.037216570196743806,0.04216603478255091,0.03581491828428439
2028-03-15,1.4986301369863013,0.9458583001565907,0.9388681219650074,0.03714225958352878,0.042091943350186116,0.03581491828428439
2028-04-17,1.5890410958904109,0.942800506516853,0.9354138984069821,0.037066738440704815,0.04201664495869721,0.03581491828428439
2028-05-15,1.6657534246575343,0.9402137683265499,0.9324930100324142,0.03700908882828996,0.04195916538513042,0.03581491828428439
2028-06-15,1.7506849315068493,0.937358157325831,0.9292698069717854,0.03695115567206271,0.04190140310407013,0.03581491828650483
2028-07-17,1.8383561643835618,0.9344195267624991,0.9259543152113819,0.03689696849415983,0.04184737575248563,0.03581491828428439
2028-08-15,1.917808219178082,0.931764351198319,0.9229598696159135,0.036852140699797344,0.04180268017872616,0.03581491828650483
2028-09-15,2.0027397260273974,0.9289344027110773,0.9197696182739971,0.036808154523537494,0.04175882374069743,0.03480342691464419
2028-10-16,2.0876712328767124,0.9262721830831958,0.9167474238959261,0.036685447452139364,0.041636480258804356,0.03379193554261224
2028-11-15,2.16986301369863,0.923703106143087,0.9138321750347921,0.036575844728297745,0.04152720229538319,0.03379193554261224
2028-12-15,2.252054794520548,0.9211411547071712,0.9109261966397654,0.036474242203276615,0.041425900825642466,0.03379193554261224
2029-01-16,2.33972602739726,0.9184162381316048,0.9078366712516612,0.03637373422536346,0.041325690659791185,0.03379193554261224
2029-02-15,2.421917808219178,0.9158689501725176,0.9049497585066928,0.036286116623011275,0.04123833267443014,0.03379193554261224
2029-03-15,2.4986301369863013,0.9134978560679442,0.9022635899197444,0.03620954088809006,0.04116198383868626,0.03379193554261224
2029-04-16,2.5863013698630137,0.9107955498719571,0.8992034448958096,0.036127588164518165,0.04108027394667948,0.03379193554261224
2029-05-15,2.665753424657534,0.9083534904535716,0.8964391543811986,0.03605797467424871,0.04101086672597691,0.03379193554261224
2029-06-15,2.750684931506849,0.9057502533635439,0.8934936196311625,0.035988007330546135,0.040941106700333296,0.03379193554261224
2029-07-16,2.835616438356164,0.9031544768529252,0.8905577633684183,0.03592223126733584,0.0408755255361292,0.03379193554261224
2029-08-15,2.9178082191780823,0.9006495183944777,0.8877257974007358,0.03586222293706498,0.04081569501467446,0.03379193554261224
2029-09-17,3.0082191780821916,0.8979020879036335,0.8846210352323878,0.035800001184775894,0.04075365762972346,0.03378585664800316
2029-10-15,3.084931506849315,0.8955783434906456,0.88199610416966,0.03574976472296593,0.04070354228206083,0.033779777755610814
2029-11-15,3.16986301369863,0.8930126406146918,0.879099014974304,0.03569698201253602,0.040650886824481494,0.033779777755610814
2029-12-17,3.2575342465753425,0.8903718827484665,0.8761184523991687,0.03564538358007152,0.040599412789713886,0.033779777755610814
2030-01-15,3.336986301369863,0.8879854417965278,0.8734260473320018,0.03560096439379066,0.04055510069281944,0.033779777755610814
2030-02-15,3.421917808219178,0.885441491489576,0.8705571081692259,0.03555576280390839,0.040510008078605816,0.033779777755610814
2030-03-15,3.4986301369863013,0.88314999473665,0.867973908918813,0.035516821863161546,0.04047116101984556,0.03377977775783125
2030-04-15,3.5835616438356164,0.8806198972886001,0.865122878374016,0.03547565338662221,0.04043009179561726,0.033779777755610814
2030-05-15,3.665753424657534,0.8781783175084917,0.8623727333791009,0.03543762926934987,0.040392159349978925,0.033779777755610814
2030-06-17,3.756164383561644,0.875500397741364,0.8593576703490275,0.03539772474715333,0.040352351032849516,0.03377977775783125
2030-07-15,3.8328767123287673,0.8732346282490911,0.856807703127979,0.03536534267728586,0.04032004703230939,0.033779777755610814
2030-08-15,3.9178082191780823,0.8707329368969436,0.8539933501761974,0.03533097029088634,0.040285757513654125,0.033779777755610814
2030-09-16,4.005479452054795,0.8681580630957069,0.8510979077111368,0.03529701806030664,0.04025188713787286,0.033254949253228104
2030-10-15,4.0849315068493155,0.8659033723593761,0.8485506268648141,0.03524709182158936,0.04020276215195775,0.032730120752166594
2030-11-15,4.16986301369863,0.8634996606564103,0.8458386982933667,0.03519582631361111,0.040151583148032965,0.03273012075438704
2030-12-16,4.254794520547946,0.8611026215570344,0.84313543692025,0.035146607464676405,0.04010244734967374,0.032730120752166594
2031-01-15,4.336986301369863,0.8587892420599533,0.8405276037630086,0.03510081175945443,0.04005672891890569,0.032730120752166594
2031-02-18,4.4301369863013695,0.8561749242706531,0.8375818091653894,0.03505096420581331,0.040006965476699644,0.032730120752166594
2031-03-17,4.504109589041096,0.854104518949395,0.8352498580557386,0.03501284816369625,0.03996891375057739,0.032730120752166594
2031-04-15,4.583561643835616,0.8518863266309747,0.8327524010251448,0.034973279069299514,0.039929411424017194,0.032730120752166594
2031-05-15,4.6657534246575345,0.8495977070024473,0.830176682785738,0.034933763655614805,0.03988996268758963,0.03273012075438704
2031-06-16,4.7534246575342465,0.8471632892845163,0.8274380305143308,0.03489312009774688,0.03984938771057932,0.032730120752166594
2031-07-15,4.832876712328767,0.8449631240131161,0.8249639314088261,0.03485756058470082,0.039813888199709,0.032730120752166594
