instrument,date,accrual,amount,discount,pv
bond,2027-03-15,0.5,2.0,0.9814279297774973,1.9628558595549945
bond,2027-09-15,0.5,2.0,0.9629015433171958,1.9258030866343916
bond,2028-03-15,0.5,2.0,0.9458583001565907,1.8917166003131813
bond,2028-09-15,0.5,2.0,0.9289344027110773,1.8578688054221546
bond,2029-03-15,0.5,2.0,0.9134978560679442,1.8269957121358884
bond,2029-09-17,0.5,2.0,0.8979020879036335,1.795804175807267
bond,2030-03-15,0.5,2.0,0.88314999473665,1.7662999894733
bond,2030-09-16,0.5,2.0,0.8681580630957069,1.7363161261914137
bond,2031-03-17,0.5,2.0,0.854104518949395,1.70820903789879
bond,2031-09-15,0.5,2.0,0.8402784703611708,1.6805569407223415
bond,2032-03-15,0.5,2.0,0.8263214977499528,1.6526429954999056
bond,2032-09-15,0.5,2.0,0.8124467971336863,1.6248935942673726
bond,2033-03-15,0.5,2.0,0.7991989974139072,1.5983979948278144
bond,2033-09-15,0.5,102.0,0.7859530205043238,80.16720809144103
fixed,2027-09-16,1.0138888888888888,-4.014821666493531,0.9628070651029537,-3.865498665628386
fixed,2028-09-18,1.0222222222222221,-4.047820200738683,0.9286764344976353,-3.7591152315095027
fixed,2029-09-17,1.011111111111111,-4.00382215507848,0.8979020879036335,-3.595040272639793
fixed,2030-09-16,1.011111111111111,-4.00382215507848,0.8681580630957069,-3.475950487132612
fixed,2031-09-16,1.0138888888888888,-4.014821666493531,0.8402011432350025,-3.373257754072523
fixed,2032-09-16,1.0166666666666666,-4.025821177908582,0.8123730049156367,-3.2704684475506025
fixed,2033-09-16,1.0138888888888888,-4.014821666493531,0.7858806849422368,-3.1551708011848687
float,2026-12-16,0.25277777777777777,1.0715684882489418,0.9905165466112897,1.0614063184378222
float,2027-03-16,0.25,1.0597308366319114,0.9813262856952519,1.0399417257487154
float,2027-06-16,0.25555555555555554,1.0834075264716247,0.9720199236057447,1.0530937011148376
float,2027-09-16,0.25555555555555554,1.082858263852171,0.9628070651029537,1.0425835869419886
float,2027-12-16,0.25277777777777777,1.0216036623189817,0.9542482380083561,0.9748634947107719
float,2028-03-16,0.25277777777777777,1.0216036623189817,0.9457654941955399,0.9661974925650851
float,2028-06-16,0.25555555555555554,1.0328878568109268,0.9372661853839186,0.9680908614825484
float,2028-09-18,0.2611111111111111,1.053784756182874,0.9286764344976353,0.9786250700998712
float,2028-12-18,0.25277777777777777,0.9708164796284668,0.9208853507049573,0.8940106743128127
float,2029-03-16,0.24444444444444444,0.9388115407396164,0.9134132877616833,0.8575229360155845
float,2029-06-18,0.2611111111111111,1.0029813949024913,0.9054987234664889,0.9081983727448442
float,2029-09-17,0.25277777777777777,0.9708644771084185,0.8979020879036335,0.8717412410671184
float,2029-12-17,0.25277777777777777,0.970483250288301,0.8903718827484665,0.8640909987350457
float,2030-03-18,0.25277777777777777,0.970483250288301,0.8829048292335984,0.8568443483698599
float,2030-06-17,0.25277777777777777,0.9705348348424497,0.875500397741364,0.8497036339264138
float,2030-09-16,0.25277777777777777,0.9705348348424497,0.8681580630957069,0.8425776423837329
float,2030-12-16,0.25277777777777777,0.9443881068469383,0.8611026215570344,0.8132150745731833
float,2031-03-17,0.25277777777777777,0.944098198695542,0.854104518949395,0.8063585378378463
float,2031-06-16,0.25277777777777777,0.9441470206845544,0.8471632892845163,0.7998466956113034
float,2031-09-16,0.25555555555555554,0.9545222626700989,0.8402011432350025,0.8019906963386785
float,2031-12-16,0.25277777777777777,0.9658390221908508,0.833194080573442,0.8047313560762582
float,2032-03-16,0.25277777777777777,0.9658390221908508,0.8262454550224929,0.7980201023685591
float,2032-06-16,0.25555555555555554,0.9765042920776955,0.8192793776205541,0.8000298286572142
float,2032-09-16,0.25555555555555554,0.9763830619156534,0.8123730049156367,0.7931872419571495
float,2032-12-16,0.25277777777777777,0.9548088385824106,0.8056858927586791,0.769276011527147
float,2033-03-16,0.25,0.9442670516563334,0.7991264084556022,0.7545887376130863
float,2033-06-16,0.25555555555555554,0.9653517264058163,0.7924763517993726,0.7650184143453074
float,2033-09-16,0.25555555555555554,0.9654733583524422,0.7858806849422368,0.758746864155499
